Link Text,URL
No Text,/
Support,https://support.ookla.com/
Login,https://account.ookla.com/login
Solutions,#
Featured Solutions,/enterprise
Competitive Network Intelligence,/solutions/competitive-network-intelligence
Network Planning & Optimization,/solutions/network-planning-optimization
GIS & Coverage Mapping,/solutions/gis-coverage-mapping
Service Disruption Management,/solutions/service-disruption-management
Network Testing,/solutions/network-testing
Consumer Network Experience,/solutions/consumer-network-experience
Awards & Marketing Claims,/awards-marketing-claims
Wi-Fi Planning & Optimization,/solutions/wi-fi-planning-optimization
Partnerships,/solutions/partnerships
Solutions For,/enterprise
Mobile Network Operators,/solutions/mobile-network-operators
Internet Service Providers,/solutions/internet-service-providers
Governments & Regulators,/solutions/governments-regulators
Infrastructure & Tower Providers,/solutions/infrastructure-tower-providers
Hardware Manufacturers,/solutions/hardware-manufacturers
Enterprises & Digital Services,/solutions/enterprise-technology
Resource Hub,/resources
All Resources,/resources
Case Studies,/resources/casestudies
Guides,/resources/guides
Research Articles,/articles
Videos,/resources/videos
Webinars,/resources/webinars
White Papers,/resources/whitepapers
Featured Webinar,https://www.ookla.com/resources/webinars/closing-digital-divide-leveraging-crowdsourced-data-global-broadband-development
Products,#
Products,#
Cell Analytics™,/cell-analytics
Consumer QoE™,/consumer-qoe
Cell Maps®,/cell-maps
Downdetector Connect™,/downdetector-connect
Downdetector Explorer™,https://downdetector.com/for-business
Ekahau AI Pro,https://www.ekahau.com/products/ekahau-connect/ai-pro/
Ekahau Sidekick 2,https://www.ekahau.com/products/ekahau-connect/sidekick-2/
Ekahau Connect,https://www.ekahau.com/products/ekahau-connect/
GIS Datasets,/gis-datasets
Map Elements®,/map-elements
RootMetrics®,https://www.rootmetrics.com/en-US/home
Speedtest Custom™,/speedtest-custom
Speedtest Embedded™,/speedtest-embedded
Speedtest Insights™,/speedtest-insights
Speedtest Intelligence®,/speedtest-intelligence
Speedtest Powered™,/speedtest-powered
Speedtest SDK™,/speedtest-sdk
Tower Source™,/tower-source
Wind®,/wind
No Text,https://itunes.apple.com/us/app/speedtest-by-ookla/id300704847?mt=8
No Text,https://play.google.com/store/apps/details?id=org.zwanoo.android.speedtest&hl=en
Websites,#
speedtest.net,https://www.speedtest.net/
speedtest.net,https://www.speedtest.net/
Take a Speedtest,https://www.speedtest.net/
Join Speedtest Server Network,/network
Speedtest Performance Directory,https://www.speedtest.net/performance
downdetector.com,https://downdetector.com/
downdetector.com,https://downdetector.com/
Monitor Service Outages,https://downdetector.com/
Report a Service Problem,https://downdetector.com/
Enterprise API,https://downdetector.com/enterprise/
ekahau.com,https://www.ekahau.com/
ekahau.com,https://www.ekahau.com/
Explore Resource Hub,https://www.ekahau.com/resources/
Get Certified,https://www.ekahau.com/training/
Become an Ekahau Partner,https://www.ekahau.com/partners/
rootmetrics.com,https://rootmetrics.com/
rootmetrics.com,https://rootmetrics.com/
Read Rootscore Reports,https://rootmetrics.com/en-US/content
Explore Rootscore Map,https://rootmetrics.com/en-US/rootscore/map
Research,#
Featured Research,#
Articles,/articles
Market Reports,/research/market-reports
Speedtest Global Index™,https://www.speedtest.net/global-index
Featured Topics,#
Network Performance,/articles/tag/network-performance
Network Evolution,/articles/tag/network-evolution
5G,/articles/tag/5g
Regulatory,/articles/tag/regulatory
Consumer,/articles/tag/consumer
View Featured Reports,/research/market-reports
View Featured Reports,/research/market-reports
Company,#
About,/about
About,/about
Ookla for Good™,/ookla-for-good
Industry Advocacy,/about/industry-advocacy
Consumer,/consumer
Careers,/about/careers
Connect,#
Press,/about/press
Events,/about/events
Contact,/about/contact
https://www.speedtest.net/,https://www.speedtest.net/
No Text,#
No Text,#
Unlock Innovation,https://www.ericsson.com/en/blog/2024/2/mapping-innovation-through-the-eiap-ecosystem
No Text,/
/s/media/2024/02/Final-Hero-Loop-1920×1080-1.mp4,/s/media/2024/02/Final-Hero-Loop-1920x1080-1.mp4
/s/media/2024/02/Final-Hero-Loop-1920×1080-1.mp4,/s/media/2024/02/Final-Hero-Loop-1920x1080-1.mp4
Discover Solutions,/enterprise
Discover Solutions,/enterprise
Operator Solutions,/solutions/mobile-network-operators
Read Case Study,/resources/casestudies/how-vodafone-qatar-became-the-worlds-fastest-mobile-network-operator-in-2022
Operator Solutions,/solutions/mobile-network-operators
ISP Solutions,/solutions/internet-service-providers
Read Case Study,/resources/casestudies/how-bahrain-network-bnet-accelerates-innovation-in-the-kingdom-of-bahrain-by-providing-3-75x-faster-fiber
ISP Solutions,/solutions/internet-service-providers
Government Solutions,/solutions/governments-regulators
Read Case Study,/resources/casestudies/how-the-oecd-uses-ookla-speedtest-data-to-bridge-rural-urban-connectivity-divides
Government Solutions,/solutions/governments-regulators
Enterprise Solutions,/solutions/enterprise-technology
Watch Webinar,/resources/webinars/how-gaming-companies-can-detect-and-resolve-outages-faster
Enterprise Solutions,/solutions/enterprise-technology
Explore All Solutions,https://www.ookla.com/enterprise
No Text,https://www.ookla.com/research/market-reports
No Text,https://www.ookla.com/research
No Text,https://www.ookla.com/connectivity-matters/2024-november
Read Case Studies,/resources/casestudies
Read Case Studies,/resources/casestudies
Research,/research
Articles,/articles
Ookla Market Reports™,/research/market-reports
Speedtest Global Index™,https://www.speedtest.net/global-index
Resources,/resources
Case Studies,/resources/casestudies
Guides,/resources/guides
Videos,/resources/videos
Webinars,/resources/webinars
White Papers,/resources/whitepapers
Enterprise,/enterprise
Competitive Network Intelligence,/solutions/competitive-network-intelligence
Network Planning & Optimization,/solutions/network-planning-optimization
Network Testing,/solutions/network-testing
GIS & Coverage Mapping,/solutions/gis-coverage-mapping
Service Disruption Management,/solutions/service-disruption-management
Consumer Network Experience,/solutions/consumer-network-experience
Speedtest Awards™ & Speedtest Verified™ Claims,/awards-marketing-claims
Wi-Fi Planning & Optimization,/solutions/wi-fi-planning-optimization
Partnerships,/solutions/partnerships
Consumer,/consumer
Network,/network
Ookla for Good™,/ookla-for-good
Speedtest®,https://www.speedtest.net/
Downdetector®,https://downdetector.com/
Ekahau®,https://www.ekahau.com/
RootMetrics®,https://www.rootmetrics.com/
About,/about
Careers,/about/careers
Leadership,/about/leadership-team
Advocacy,/about/industry-advocacy
Events,/about/events
Contact,/about/contact
Twitter,https://twitter.com/speedtest
Facebook,https://www.facebook.com/speedtest
LinkedIn,https://www.linkedin.com/company/ookla
Accessibility,/accessibility
Network Status,https://status.ookla.com/
Privacy Policy,/privacy
Terms,/terms
Patents,/about/patents
Do Not Sell My Personal Information,/do-not-sell-my-data
